frame.number;ip.src;tcp.srcport;mqtt.clientid;mqtt.msgid;label
114;10.6.56.36;47640;;;0
115;10.6.56.36;47638;151;1;0
116;10.6.56.1;1883;;;0
117;10.6.56.36;47640;153;1;0
118;10.6.56.1;1883;;;0
119;10.6.56.36;47644;;;0
120;10.6.56.1;1883;;;0
121;10.6.56.1;1883;;;0
122;10.6.56.1;1883;;;0
123;10.6.56.36;47644;;;0
124;10.6.56.36;47642;;;0
125;10.6.56.1;1883;;;0
126;10.6.56.1;1883;;;0
127;10.6.56.1;1883;;;0
128;10.6.56.36;47642;;;0
129;10.6.56.36;47644;152;1;0
130;10.6.56.1;1883;;;0
131;10.6.56.36;47642;154;1;0
132;10.6.56.1;1883;;;0
133;10.6.56.41;49174;;;0
134;10.6.56.41;49188;;;0
135;10.6.56.41;49178;;;0
136;10.6.56.41;49182;;;0
137;10.6.56.41;49184;;;0
138;10.6.56.41;49176;;;0
139;10.6.56.41;49186;;;0
140;10.6.56.41;49180;;;0
141;10.6.56.50;44536;;;0
142;10.6.56.50;44530;;;0
143;10.6.56.50;44526;;;0
144;10.6.56.50;44534;;;0
145;10.6.56.36;47630;;;0
146;10.6.56.36;47634;;;0
147;10.6.56.36;47638;;;0
148;10.6.56.50;44540;;;0
149;10.6.56.50;44528;;;0
150;10.6.56.50;44538;;;0
151;10.6.56.50;44532;;;0
152;10.6.56.36;47642;;;0
153;10.6.56.36;47644;;;0
154;10.6.56.36;47636;;;0
155;10.6.56.36;47640;;;0
156;10.6.56.36;47632;;;0
157;10.6.56.34;40864;;;0
158;10.6.56.1;1883;;;0
159;10.6.56.1;1883;;;0
160;10.6.56.1;1883;;;0
161;10.6.56.34;40864;;;0
162;10.6.56.34;40864;253;1;0
163;10.6.56.1;1883;;;0
164;10.6.56.34;40866;;;0
165;10.6.56.1;1883;;;0
166;10.6.56.1;1883;;;0
167;10.6.56.34;40868;;;0
168;10.6.56.1;1883;;;0
169;10.6.56.1;1883;;;0
170;10.6.56.1;1883;;;0
171;10.6.56.34;40866;;;0
172;10.6.56.1;1883;;;0
173;10.6.56.34;40868;;;0
174;10.6.56.34;40866;252;1;0
175;10.6.56.1;1883;;;0
176;10.6.56.34;40868;251;1;0
177;10.6.56.1;1883;;;0
178;10.6.56.34;40870;;;0
179;10.6.56.1;1883;;;0
180;10.6.56.1;1883;;;0
181;10.6.56.1;1883;;;0
182;10.6.56.34;40870;;;0
183;10.6.56.34;40870;254;1;0
184;10.6.56.1;1883;;;0
185;10.6.56.34;40870;;;0
186;10.6.56.34;40860;;;0
187;10.6.56.34;40856;;;0
188;10.6.56.34;40866;;;0
189;10.6.56.34;40858;;;0
190;10.6.56.34;40864;;;0
191;10.6.56.34;40868;;;0
192;10.6.56.34;40862;;;0
193;10.6.56.50;44530;233;289;0
194;10.6.56.50;44532;231;289;0
195;10.6.56.1;1883;;;0
196;10.6.56.50;44530;;;0
197;10.6.56.1;1883;;;0
198;10.6.56.1;1883;;;0
199;10.6.56.50;44532;;;0
200;10.6.56.1;1883;;;0
201;10.6.56.50;44526;234;289;0
202;10.6.56.1;1883;;;0
203;10.6.56.50;44526;;;0
204;10.6.56.1;1883;;;0
205;10.6.56.50;44528;232;289;0
206;10.6.56.1;1883;;;0
207;10.6.56.50;44528;;;0
208;10.6.56.1;1883;;;0
209;10.6.56.36;47634;153;289;0
210;10.6.56.1;1883;;;0
211;10.6.56.36;47630;151;289;0
212;10.6.56.1;1883;;;0
213;10.6.56.36;47630;;;0
214;10.6.56.1;1883;;;0
215;10.6.56.36;47632;152;289;0
216;10.6.56.1;1883;;;0
217;10.6.56.36;47636;154;289;0
218;10.6.56.1;1883;;;0
219;10.6.56.36;47636;;;0
220;10.6.56.1;1883;;;0
221;10.6.56.34;40856;251;289;0
222;10.6.56.34;40860;253;289;0
223;10.6.56.1;1883;;;0
224;10.6.56.1;1883;;;0
225;10.6.56.34;40860;;;0
226;10.6.56.1;1883;;;0
227;10.6.56.34;40858;252;289;0
228;10.6.56.1;1883;;;0
229;10.6.56.34;40858;;;0
230;10.6.56.1;1883;;;0
231;10.6.56.34;40862;254;289;0
232;10.6.56.1;1883;;;0
233;10.6.56.34;40862;;;0
234;10.6.56.1;1883;;;0
235;10.6.56.41;49174;131;298;0
236;10.6.56.1;1883;;;0
237;10.6.56.41;49174;;;0
238;10.6.56.1;1883;;;0
239;10.6.56.41;49180;132;298;0
240;10.6.56.1;1883;;;0
241;10.6.56.41;49180;;;0
242;10.6.56.1;1883;;;0
243;10.6.56.41;49176;133;298;0
244;10.6.56.1;1883;;;0
245;10.6.56.41;49176;;;0
246;10.6.56.1;1883;;;0
247;10.6.56.41;49178;134;298;0
248;10.6.56.1;1883;;;0
249;10.6.56.41;49178;;;0
250;10.6.56.1;1883;;;0
251;10.6.56.41;49182;131;2;0
252;10.6.56.1;1883;;;0
253;10.6.56.41;49182;;;0
254;10.6.56.41;49186;132;2;0
255;10.6.56.41;49184;133;2;0
256;10.6.56.1;1883;;;0
257;10.6.56.1;1883;;;0
258;10.6.56.41;49186;;;0
259;10.6.56.41;49184;;;0
260;10.6.56.41;49188;134;2;0
261;10.6.56.1;1883;;;0
262;10.6.56.41;49188;;;0
263;10.6.56.50;44534;234;2;0
264;10.6.56.1;1883;;;0
265;10.6.56.50;44536;233;2;0
266;10.6.56.50;44534;;;0
267;10.6.56.1;1883;;;0
268;10.6.56.50;44536;;;0
269;10.6.56.50;44538;232;2;0
270;10.6.56.1;1883;;;0
271;10.6.56.50;44538;;;0
272;10.6.56.50;44540;231;2;0
273;10.6.56.1;1883;;;0
274;10.6.56.50;44540;;;0
275;10.6.56.36;47638;151;2;0
276;10.6.56.1;1883;;;0
277;10.6.56.36;47638;;;0
278;10.6.56.36;47640;153;2;0
279;10.6.56.1;1883;;;0
280;10.6.56.36;47640;;;0
281;10.6.56.36;47644;152;2;0
282;10.6.56.1;1883;;;0
283;10.6.56.36;47644;;;0
284;10.6.56.36;47642;154;2;0
285;10.6.56.1;1883;;;0
286;10.6.56.36;47642;;;0
287;10.6.56.34;40864;253;2;0
288;10.6.56.34;40866;252;2;0
289;10.6.56.1;1883;;;0
290;10.6.56.1;1883;;;0
291;10.6.56.34;40866;;;0
292;10.6.56.34;40864;;;0
293;10.6.56.34;40868;251;2;0
294;10.6.56.1;1883;;;0
295;10.6.56.34;40868;;;0
296;10.6.56.34;40870;254;2;0
297;10.6.56.1;1883;;;0
298;10.6.56.34;40870;;;0
299;10.6.56.41;123;;;0
300;10.6.56.1;123;;;0
301;10.6.56.36;123;;;0
302;10.6.56.1;123;;;0
303;10.6.56.41;49182;131;3;0
304;10.6.56.1;1883;;;0
305;10.6.56.41;49182;;;0
306;10.6.56.41;49184;133;3;0
307;10.6.56.1;1883;;;0
308;10.6.56.41;49188;134;3;0
309;10.6.56.41;49184;;;0
310;10.6.56.1;1883;;;0
311;10.6.56.41;49186;132;3;0
312;10.6.56.41;49188;;;0
313;10.6.56.1;1883;;;0
314;10.6.56.41;49186;;;0
315;10.6.56.50;44536;233;3;0
316;10.6.56.1;1883;;;0
317;10.6.56.50;44534;234;3;0
318;10.6.56.50;44536;;;0
319;10.6.56.1;1883;;;0
320;10.6.56.50;44534;;;0
321;10.6.56.50;44540;231;3;0
322;10.6.56.1;1883;;;0
323;10.6.56.50;44538;232;3;0
324;10.6.56.50;44540;;;0
325;10.6.56.1;1883;;;0
326;10.6.56.50;44538;;;0
327;10.6.56.36;47638;151;3;0
328;10.6.56.1;1883;;;0
329;10.6.56.36;47638;;;0
330;10.6.56.36;47640;153;3;0
331;10.6.56.1;1883;;;0
332;10.6.56.36;47640;;;0
333;10.6.56.36;47644;152;3;0
334;10.6.56.36;47642;154;3;0
335;10.6.56.1;1883;;;0
336;10.6.56.1;1883;;;0
337;10.6.56.36;47642;;;0
338;10.6.56.36;47644;;;0
339;10.6.56.34;40868;251;3;0
340;10.6.56.34;40866;252;3;0
341;10.6.56.1;1883;;;0
342;10.6.56.1;1883;;;0
343;10.6.56.34;40866;;;0
344;10.6.56.34;40864;253;3;0
345;10.6.56.1;1883;;;0
346;10.6.56.34;40868;;;0
347;10.6.56.34;40870;254;3;0
348;10.6.56.34;40864;;;0
349;10.6.56.1;1883;;;0
350;10.6.56.34;40870;;;0
351;10.6.56.50;123;;;0
352;10.6.56.1;123;;;0
353;10.6.56.41;49182;131;4;0
354;10.6.56.1;1883;;;0
355;10.6.56.41;49182;;;0
356;10.6.56.41;49188;134;4;0
357;10.6.56.1;1883;;;0
358;10.6.56.41;49188;;;0
359;10.6.56.41;49186;132;4;0
360;10.6.56.1;1883;;;0
361;10.6.56.41;49184;133;4;0
362;10.6.56.41;49186;;;0
363;10.6.56.1;1883;;;0
364;10.6.56.41;49184;;;0
365;10.6.56.50;44536;233;4;0
366;10.6.56.1;1883;;;0
367;10.6.56.50;44534;234;4;0
368;10.6.56.50;44536;;;0
369;10.6.56.1;1883;;;0
370;10.6.56.50;44534;;;0
371;10.6.56.50;44540;231;4;0
372;10.6.56.1;1883;;;0
373;10.6.56.50;44540;;;0
374;10.6.56.50;44538;232;4;0
375;10.6.56.1;1883;;;0
376;10.6.56.50;44538;;;0
377;10.6.56.36;47638;151;4;0
378;10.6.56.1;1883;;;0
379;10.6.56.36;47638;;;0
380;10.6.56.36;47640;153;4;0
381;10.6.56.1;1883;;;0
382;10.6.56.36;47640;;;0
383;10.6.56.36;47642;154;4;0
384;10.6.56.1;1883;;;0
385;10.6.56.36;47642;;;0
386;10.6.56.36;47644;152;4;0
387;10.6.56.1;1883;;;0
388;10.6.56.36;47644;;;0
389;10.6.56.34;40864;253;4;0
390;10.6.56.34;40866;252;4;0
391;10.6.56.1;1883;;;0
392;10.6.56.34;40870;254;4;0
393;10.6.56.34;40868;251;4;0
394;10.6.56.1;1883;;;0
395;10.6.56.34;40864;;;0
396;10.6.56.1;1883;;;0
397;10.6.56.1;1883;;;0
398;10.6.56.34;40866;;;0
399;10.6.56.34;40868;;;0
400;10.6.56.34;40870;;;0
401;10.6.56.41;49182;131;5;0
402;10.6.56.1;1883;;;0
403;10.6.56.41;49186;132;5;0
404;10.6.56.41;49182;;;0
405;10.6.56.1;1883;;;0
406;10.6.56.41;49184;133;5;0
407;10.6.56.41;49186;;;0
408;10.6.56.1;1883;;;0
409;10.6.56.41;49184;;;0
410;10.6.56.41;49188;134;5;0
411;10.6.56.1;1883;;;0
412;10.6.56.41;49188;;;0
413;10.6.56.50;44534;234;5;0
414;10.6.56.1;1883;;;0
415;10.6.56.50;44536;233;5;0
416;10.6.56.50;44534;;;0
417;10.6.56.1;1883;;;0
418;10.6.56.50;44536;;;0
419;10.6.56.50;44538;232;5;0
420;10.6.56.1;1883;;;0
421;10.6.56.50;44538;;;0
422;10.6.56.50;44540;231;5;0
423;10.6.56.1;1883;;;0
424;10.6.56.50;44540;;;0
425;10.6.56.36;47640;153;5;0
426;10.6.56.1;1883;;;0
427;10.6.56.36;47640;;;0
428;10.6.56.36;47638;151;5;0
429;10.6.56.1;1883;;;0
430;10.6.56.36;47638;;;0
431;10.6.56.36;47644;152;5;0
432;10.6.56.1;1883;;;0
433;10.6.56.36;47644;;;0
434;10.6.56.36;47642;154;5;0
435;10.6.56.1;1883;;;0
436;10.6.56.36;47642;;;0
437;10.6.56.34;40870;254;5;0
438;10.6.56.34;40868;251;5;0
439;10.6.56.1;1883;;;0
440;10.6.56.34;40864;253;5;0
441;10.6.56.34;40866;252;5;0
442;10.6.56.1;1883;;;0
443;10.6.56.1;1883;;;0
444;10.6.56.34;40870;;;0
445;10.6.56.1;1883;;;0
446;10.6.56.34;40864;;;0
447;10.6.56.34;40868;;;0
448;10.6.56.34;40866;;;0
449;10.6.56.41;123;;;0
450;10.6.56.1;123;;;0
451;10.6.56.36;123;;;0
452;10.6.56.1;123;;;0
453;10.6.56.41;49182;131;6;0
454;10.6.56.1;1883;;;0
455;10.6.56.41;49184;133;6;0
456;10.6.56.41;49182;;;0
457;10.6.56.1;1883;;;0
458;10.6.56.41;49188;134;6;0
459;10.6.56.41;49184;;;0
460;10.6.56.1;1883;;;0
461;10.6.56.41;49188;;;0
462;10.6.56.41;49186;132;6;0
463;10.6.56.1;1883;;;0
464;10.6.56.41;49186;;;0
465;10.6.56.50;44534;234;6;0
466;10.6.56.1;1883;;;0
467;10.6.56.50;44534;;;0
468;10.6.56.50;44538;232;6;0
469;10.6.56.1;1883;;;0
470;10.6.56.50;44538;;;0
471;10.6.56.50;44540;231;6;0
472;10.6.56.1;1883;;;0
473;10.6.56.50;44540;;;0
474;10.6.56.50;44536;233;6;0
475;10.6.56.1;1883;;;0
476;10.6.56.50;44536;;;0
477;10.6.56.36;47640;153;6;0
478;10.6.56.1;1883;;;0
479;10.6.56.36;47640;;;0
480;10.6.56.36;47638;151;6;0
481;10.6.56.1;1883;;;0
482;10.6.56.36;47638;;;0
483;10.6.56.36;47644;152;6;0
484;10.6.56.1;1883;;;0
485;10.6.56.36;47644;;;0
486;10.6.56.36;47642;154;6;0
487;10.6.56.1;1883;;;0
488;10.6.56.36;47642;;;0
489;10.6.56.34;40866;252;6;0
490;10.6.56.34;40868;251;6;0
491;10.6.56.1;1883;;;0
492;10.6.56.1;1883;;;0
493;10.6.56.34;40870;254;6;0
494;10.6.56.34;40866;;;0
495;10.6.56.34;40864;253;6;0
496;10.6.56.1;1883;;;0
497;10.6.56.34;40868;;;0
498;10.6.56.1;1883;;;0
499;10.6.56.34;40870;;;0
500;10.6.56.34;40864;;;0
501;10.6.56.50;123;;;0
502;10.6.56.1;123;;;0
503;10.6.56.41;49182;131;7;0
504;10.6.56.1;1883;;;0
505;10.6.56.41;49188;134;7;0
506;10.6.56.41;49182;;;0
507;10.6.56.1;1883;;;0
508;10.6.56.41;49188;;;0
509;10.6.56.41;49186;132;7;0
510;10.6.56.1;1883;;;0
511;10.6.56.41;49186;;;0
512;10.6.56.41;49184;133;7;0
513;10.6.56.1;1883;;;0
514;10.6.56.41;49184;;;0
515;10.6.56.50;44534;234;7;0
516;10.6.56.1;1883;;;0
517;10.6.56.50;44538;232;7;0
518;10.6.56.1;1883;;;0
519;10.6.56.50;44534;;;0
520;10.6.56.50;44538;;;0
521;10.6.56.50;44540;231;7;0
522;10.6.56.1;1883;;;0
523;10.6.56.50;44536;233;7;0
524;10.6.56.50;44540;;;0
525;10.6.56.1;1883;;;0
526;10.6.56.50;44536;;;0
527;10.6.56.36;47640;153;7;0
528;10.6.56.1;1883;;;0
529;10.6.56.36;47638;151;7;0
530;10.6.56.36;47644;152;7;0
531;10.6.56.1;1883;;;0
532;10.6.56.1;1883;;;0
533;10.6.56.36;47642;154;7;0
534;10.6.56.1;1883;;;0
535;10.6.56.36;47640;;;0
536;10.6.56.36;47638;;;0
537;10.6.56.36;47644;;;0
538;10.6.56.36;47642;;;0
539;10.6.56.34;40868;251;7;0
540;10.6.56.34;40870;254;7;0
541;10.6.56.34;40866;252;7;0
542;10.6.56.34;40864;253;7;0
543;10.6.56.1;1883;;;0
544;10.6.56.1;1883;;;0
545;10.6.56.1;1883;;;0
546;10.6.56.1;1883;;;0
547;10.6.56.34;40868;;;0
548;10.6.56.34;40870;;;0
549;10.6.56.34;40866;;;0
550;10.6.56.34;40864;;;0
551;10.6.56.41;49182;131;8;0
552;10.6.56.41;49186;132;8;0
553;10.6.56.1;1883;;;0
554;10.6.56.41;49188;134;8;0
555;10.6.56.1;1883;;;0
556;10.6.56.1;1883;;;0
557;10.6.56.41;49182;;;0
558;10.6.56.41;49186;;;0
559;10.6.56.41;49188;;;0
560;10.6.56.41;49184;133;8;0
561;10.6.56.1;1883;;;0
562;10.6.56.41;49184;;;0
563;10.6.56.50;44538;232;8;0
564;10.6.56.1;1883;;;0
565;10.6.56.50;44538;;;0
566;10.6.56.50;44540;231;8;0
567;10.6.56.50;44534;234;8;0
568;10.6.56.1;1883;;;0
569;10.6.56.1;1883;;;0
570;10.6.56.50;44540;;;0
571;10.6.56.50;44536;233;8;0
572;10.6.56.50;44534;;;0
573;10.6.56.1;1883;;;0
574;10.6.56.50;44536;;;0
575;10.6.56.36;47638;151;8;0
576;10.6.56.36;47642;154;8;0
577;10.6.56.1;1883;;;0
578;10.6.56.1;1883;;;0
579;10.6.56.36;47644;152;8;0
580;10.6.56.36;47640;153;8;0
581;10.6.56.36;47638;;;0
582;10.6.56.36;47642;;;0
583;10.6.56.1;1883;;;0
584;10.6.56.1;1883;;;0
585;10.6.56.36;47640;;;0
586;10.6.56.36;47644;;;0
587;10.6.56.34;40866;252;8;0
588;10.6.56.34;40864;253;8;0
589;10.6.56.34;40870;254;8;0
590;10.6.56.34;40868;251;8;0
591;10.6.56.1;1883;;;0
592;10.6.56.1;1883;;;0
593;10.6.56.1;1883;;;0
594;10.6.56.1;1883;;;0
595;10.6.56.34;40864;;;0
596;10.6.56.34;40866;;;0
597;10.6.56.34;40868;;;0
598;10.6.56.34;40870;;;0
599;10.6.56.41;49182;131;9;0
600;10.6.56.41;49188;134;9;0
601;10.6.56.1;1883;;;0
602;10.6.56.1;1883;;;0
603;10.6.56.41;49184;133;9;0
604;10.6.56.41;49188;;;0
605;10.6.56.41;49182;;;0
606;10.6.56.1;1883;;;0
607;10.6.56.41;49186;132;9;0
608;10.6.56.41;49184;;;0
609;10.6.56.1;1883;;;0
610;10.6.56.41;49186;;;0
611;10.6.56.50;44538;232;9;0
612;10.6.56.1;1883;;;0
613;10.6.56.50;44538;;;0
614;10.6.56.50;44540;231;9;0
615;10.6.56.50;44534;234;9;0
616;10.6.56.50;44536;233;9;0
617;10.6.56.1;1883;;;0
618;10.6.56.1;1883;;;0
619;10.6.56.1;1883;;;0
620;10.6.56.50;44540;;;0
621;10.6.56.50;44534;;;0
622;10.6.56.50;44536;;;0
623;10.6.56.36;47644;152;9;0
624;10.6.56.36;47642;154;9;0
625;10.6.56.1;1883;;;0
626;10.6.56.36;47638;151;9;0
627;10.6.56.1;1883;;;0
628;10.6.56.1;1883;;;0
629;10.6.56.36;47644;;;0
630;10.6.56.36;47642;;;0
631;10.6.56.36;47638;;;0
632;10.6.56.36;47640;153;9;0
633;10.6.56.1;1883;;;0
634;10.6.56.36;47640;;;0
635;10.6.56.34;40864;253;9;0
636;10.6.56.34;40870;254;9;0
637;10.6.56.1;1883;;;0
638;10.6.56.34;40866;252;9;0
639;10.6.56.34;40868;251;9;0
640;10.6.56.1;1883;;;0
641;10.6.56.1;1883;;;0
642;10.6.56.34;40864;;;0
643;10.6.56.1;1883;;;0
644;10.6.56.34;40870;;;0
645;10.6.56.34;40866;;;0
646;10.6.56.34;40868;;;0
647;10.6.56.41;123;;;0
648;10.6.56.1;123;;;0
649;10.6.56.36;123;;;0
650;10.6.56.1;123;;;0
651;10.6.56.41;49184;133;10;0
652;10.6.56.41;49186;132;10;0
653;10.6.56.1;1883;;;0
654;10.6.56.1;1883;;;0
655;10.6.56.41;49188;134;10;0
656;10.6.56.1;1883;;;0
657;10.6.56.41;49184;;;0
658;10.6.56.41;49186;;;0
659;10.6.56.41;49188;;;0
660;10.6.56.41;49182;131;10;0
661;10.6.56.1;1883;;;0
662;10.6.56.41;49182;;;0
663;10.6.56.50;44538;232;10;0
664;10.6.56.1;1883;;;0
665;10.6.56.50;44538;;;0
666;10.6.56.50;44536;233;10;0
667;10.6.56.1;1883;;;0
668;10.6.56.50;44534;234;10;0
669;10.6.56.50;44536;;;0
670;10.6.56.1;1883;;;0
671;10.6.56.50;44534;;;0
672;10.6.56.50;44540;231;10;0
673;10.6.56.1;1883;;;0
674;10.6.56.50;44540;;;0
675;10.6.56.36;47644;152;10;0
676;10.6.56.36;47642;154;10;0
677;10.6.56.1;1883;;;0
678;10.6.56.1;1883;;;0
679;10.6.56.36;47638;151;10;0
680;10.6.56.36;47642;;;0
681;10.6.56.36;47644;;;0
682;10.6.56.1;1883;;;0
683;10.6.56.36;47640;153;10;0
684;10.6.56.36;47638;;;0
685;10.6.56.1;1883;;;0
686;10.6.56.36;47640;;;0
687;10.6.56.34;40870;254;10;0
688;10.6.56.34;40866;252;10;0
689;10.6.56.1;1883;;;0
690;10.6.56.34;40864;253;10;0
691;10.6.56.1;1883;;;0
692;10.6.56.1;1883;;;0
693;10.6.56.34;40868;251;10;0
694;10.6.56.34;40870;;;0
695;10.6.56.34;40864;;;0
696;10.6.56.1;1883;;;0
697;10.6.56.34;40866;;;0
698;10.6.56.34;40868;;;0
699;10.6.56.50;123;;;0
700;10.6.56.1;123;;;0
701;10.6.56.41;49184;133;11;0
702;10.6.56.1;1883;;;0
703;10.6.56.41;49186;132;11;0
704;10.6.56.1;1883;;;0
705;10.6.56.41;49184;;;0
706;10.6.56.41;49186;;;0
707;10.6.56.41;49188;134;11;0
708;10.6.56.1;1883;;;0
709;10.6.56.41;49188;;;0
710;10.6.56.41;49182;131;11;0
711;10.6.56.1;1883;;;0
712;10.6.56.41;49182;;;0
713;10.6.56.50;44534;234;11;0
714;10.6.56.1;1883;;;0
715;10.6.56.50;44536;233;11;0
716;10.6.56.1;1883;;;0
717;10.6.56.50;44534;;;0
718;10.6.56.50;44536;;;0
719;10.6.56.50;44538;232;11;0
720;10.6.56.1;1883;;;0
721;10.6.56.50;44540;231;11;0
722;10.6.56.50;44538;;;0
723;10.6.56.1;1883;;;0
724;10.6.56.50;44540;;;0
725;10.6.56.36;47642;154;11;0
726;10.6.56.1;1883;;;0
727;10.6.56.36;47642;;;0
728;10.6.56.36;47638;151;11;0
729;10.6.56.1;1883;;;0
730;10.6.56.36;47644;152;11;0
731;10.6.56.36;47638;;;0
732;10.6.56.1;1883;;;0
733;10.6.56.36;47644;;;0
734;10.6.56.36;47640;153;11;0
735;10.6.56.1;1883;;;0
736;10.6.56.36;47640;;;0
737;10.6.56.34;40866;252;11;0
738;10.6.56.34;40870;254;11;0
739;10.6.56.1;1883;;;0
740;10.6.56.34;40864;253;11;0
741;10.6.56.1;1883;;;0
742;10.6.56.34;40868;251;11;0
743;10.6.56.1;1883;;;0
744;10.6.56.34;40866;;;0
745;10.6.56.1;1883;;;0
746;10.6.56.34;40864;;;0
747;10.6.56.34;40870;;;0
748;10.6.56.34;40868;;;0
749;10.6.56.41;49186;132;12;0
750;10.6.56.1;1883;;;0
751;10.6.56.41;49188;134;12;0
752;10.6.56.1;1883;;;0
753;10.6.56.41;49184;133;12;0
754;10.6.56.41;49186;;;0
755;10.6.56.41;49188;;;0
756;10.6.56.1;1883;;;0
757;10.6.56.41;49184;;;0
758;10.6.56.41;49182;131;12;0
759;10.6.56.1;1883;;;0
760;10.6.56.41;49182;;;0
761;10.6.56.50;44538;232;12;0
762;10.6.56.50;44540;231;12;0
763;10.6.56.1;1883;;;0
764;10.6.56.1;1883;;;0
765;10.6.56.50;44538;;;0
766;10.6.56.50;44540;;;0
767;10.6.56.50;44536;233;12;0
768;10.6.56.1;1883;;;0
769;10.6.56.50;44536;;;0
770;10.6.56.50;44534;234;12;0
771;10.6.56.1;1883;;;0
772;10.6.56.50;44534;;;0
773;10.6.56.36;47638;151;12;0
774;10.6.56.1;1883;;;0
775;10.6.56.36;47642;154;12;0
776;10.6.56.1;1883;;;0
777;10.6.56.36;47638;;;0
778;10.6.56.36;47642;;;0
779;10.6.56.36;47644;152;12;0
780;10.6.56.1;1883;;;0
781;10.6.56.36;47644;;;0
782;10.6.56.36;47640;153;12;0
783;10.6.56.1;1883;;;0
784;10.6.56.36;47640;;;0
785;10.6.56.34;40870;254;12;0
786;10.6.56.34;40864;253;12;0
787;10.6.56.34;40868;251;12;0
788;10.6.56.34;40866;252;12;0
789;10.6.56.1;1883;;;0
790;10.6.56.1;1883;;;0
791;10.6.56.34;40864;;;0
792;10.6.56.1;1883;;;0
793;10.6.56.34;40870;;;0
794;10.6.56.1;1883;;;0
795;10.6.56.34;40866;;;0
